时间,项目名称,详情链接,项目金额
2018/4/4,中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/06/99396.htm,800000
2018/4/4,中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/06/99398.htm,1200000
2019/3/18,上海市生态环境局2019年度第五批科研项目招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2019/03/101768.htm,1498000
2018/3/20,上海市环境保护局2018年本市城乡中小河道综合整治水质跟踪监测采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/03/98594.htm,2995000
2018/9/12,上海市环境保护局排污许可证企业污染源监督下增补监测（宝钢）项目的成交公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/09/100403.htm,225000
2018/4/4,中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/06/99403.htm,1800000
2016/6/2,上海市环境保护局2016年度科研项目（第四批）招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/06/92914.htm,680000
2016/6/2,上海市环境保护局2016年度科研项目（第三批）招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/06/92913.htm,1800000
2016/6/2,上海市环境保护局2016年度科研项目（第一批）招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/06/92911.htm,2130000
2016/6/1,上海市环境保护局2016年度科研项目（第二批）招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/06/92912.htm,2031500
2018/5/11,上海市环境保护局总量控制处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/05/99267.htm,3608000
2018/9/12,上海市环境保护局排污许可证企业污染源监督性增补监测（上海石化）项目的成交公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/09/100402.htm,1170000
2018/4/4,中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/06/99406.htm,1500000
2018/5/11,上海市环境保护局辐射安全管理处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/05/99201.htm,1300000
2018/9/12,上海市环境保护局排污许可证企业污染源监督性增补监测（高桥石化）项目的成交公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/09/100404.htm,830000
2018/5/7,上海市环境保护局工业企业及市政场地土壤污染防治业务2017年度考核评估采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/07/99713.htm,498000
2016/8/31,上海市环境保护局水环境和自然生态保护处区县水源地生态补偿工作执行情况及效益考核评估单一来源采购项目的成交公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/09/93732.htm,200000
2016/8/17,上海市环境保护局地表水环境达标、区划及细则制定招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/08/93566.htm,3400000
2016/8/17,上海市环境保护局制定上海市清洁水行动计划区县考核细则和实施情况评估方案招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/08/93565.htm,400000
2018/4/4,上海市环境保护局总量控制处污普重点污染源产排污系数测算采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98832.htm,4300000
2018/4/4,上海市环境保护局总量控制处污普重点污染物源谱测试采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98833.htm,5790000
2018/8/23,上海市环境保护局政策法规处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/10/100570.htm,380000
2018/4/4,上海市环境保护局总量控制处污普市管企业专项调查采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98834.htm,3690000
2018/4/4,上海市环境保护局总量控制处污普特征污染物专项调查采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98835.htm,5471330
2018/4/27,上海市环境保护局水环境和自然生态保护处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/09/100486.htm,4000000
2016/8/11,上海市环境保护局上海市水生态环境功能区划招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/08/93517.htm,650000
2017/5/12,上海市环境保护局2017年度第四批科研项目招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2017/07/96521.htm,795000
2018/7/11,上海市环境保护局水环境和自然生态保护处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/07/99715.htm,1000000
2016/8/11,上海市环境保护局水源保护区区划及管理要求更新研究招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/08/93516.htm,1000000
2018/4/2,上海市环境保护局总量控制处普查质量抽查与评估采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98761.htm,3470000
2018/6/29,上海市环境保护局水环境和自然生态保护处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/07/99657.htm,2248000
2016/8/4,上海市环境保护局2016年度科研项目（第六批）单一来源采购项目的成交公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/08/93410.htm,1150000
2019/3/1,上海市生态环境局综合规划处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2019/03/101684.htm,800000
2018/4/2,上海市环境保护局总量控制处污普大气污染源专项调查采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/04/98762.htm,1906000
2018/6/29,上海市环境保护局污染防治处工作项目采购招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2018/07/99658.htm,300000
2016/8/4,上海市环境保护局2016年度科研项目（第五批）招标项目的中标公告,http://www.sepb.gov.cn/fa/cms/shhj//shhj2151/shhj2152/2016/08/93409.htm,563000
